Id,Country,2015Happiness Rank,2015Happiness Score,2016Happiness Rank,2016Happiness Score,2017Happiness Rank,2017Happiness Score,2018Happiness Rank,2018Happiness Score,happinessRank,happinessScore,1960LE,1961LE,1962LE,1963LE,1964LE,1965LE,1966LE,1967LE,1968LE,1969LE,1970LE,1971LE,1972LE,1973LE,1974LE,1975LE,1976LE,1977LE,1978LE,1979LE,1980LE,1981LE,1982LE,1983LE,1984LE,1985LE,1986LE,1987LE,1988LE,1989LE,1990LE,1991LE,1992LE,1993LE,1994LE,1995LE,1996LE,1997LE,1998LE,1999LE,2000LE,2001LE,2002LE,2003LE,2004LE,2005LE,2006LE,2007LE,2008LE,2009LE,2010LE,2011LE,2012LE,2013LE,2014LE,2015LE,2016LE,2017LE,2018LE,1960GDP,1961GDP,1962GDP,1963GDP,1964GDP,1965GDP,1966GDP,1967GDP,1968GDP,1969GDP,1970GDP,1971GDP,1972GDP,1973GDP,1974GDP,1975GDP,1976GDP,1977GDP,1978GDP,1979GDP,1980GDP,1981GDP,1982GDP,1983GDP,1984GDP,1985GDP,1986GDP,1987GDP,1988GDP,1989GDP,1990GDP,1991GDP,1992GDP,1993GDP,1994GDP,1995GDP,1996GDP,1997GDP,1998GDP,1999GDP,2000GDP,2001GDP,2002GDP,2003GDP,2004GDP,2005GDP,2006GDP,2007GDP,2008GDP,2009GDP,2010GDP,2011GDP,2012GDP,2013GDP,2014GDP,2015GDP,2016GDP,2017GDP,2018GDP,2019GDP,2008HFI,2009HFI,2010HFI,2011HFI,2012HFI,2013HFI,2014HFI,2015HFI,2016HFI,2017HFI,2005HS,2006HS,2007HS,2008HS,2009HS,2010HS,2011HS,2012HS,2013HS,2014HS,2015HS,2016HS,2017HS,2018HS
0,Afghanistan,153.0,3.575,154.0,3.36,141.0,3.79399991,145.0,3.6320000000000000,154.0,3.2030000000000000,32.446,32.962000000000000,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944000000000000,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486000000000000,48.211000000000000,48.93,49.64,50.331,50.999000000000000,51.641000000000000,52.256,52.842,53.398,53.924,54.424,54.906000000000000,55.376000000000000,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484000000000000,61.028,61.553000000000000,62.054000000000000,62.525,62.966,63.377000000000000,63.763000000000000,64.13,64.486,59.77319384,59.86087388,58.45801495,78.70638754,82.09523071,101.10830490000000,137.5943521,160.8985889,129.10832310000000,129.3297129,156.51893940000000,159.5675785,135.3173083,143.1446495,173.6537646,186.5108971,197.44550760000000,224.22479730000000,247.3541063,275.73819760000000,272.6552857,264.1113175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.426611,190.68381430000000,211.38211690000000,242.0312849,263.7336917,359.6932375,364.66074480000000,438.07603440000000,543.3030419000000,591.1627590000000,641.8714792000000,637.1655232,613.8566892000000,578.4663529000000,547.2281102000000,556.3020024,524.1628809000000,502.1154869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.723589897,4.401778221,4.75838089,3.83171916,3.782937527,3.572100401,3.130895615,3.982854605,4.220168591,2.66171813,2.6943032740000000
1,Albania,95.0,4.959,109.0,4.655,109.0,4.644000053,112.0,4.586,107.0,4.719000000000000,62.283,63.301,64.19,64.914,65.46300000000000,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.44800000000000,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80200000000000,71.86,71.992,72.205,72.495,72.83800000000000,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.22800000000000,75.423,75.646,75.91200000000000,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492000000,1009.977668,717.3805674,813.7902636,1033.241693,1126.6833180000000,1281.659393,1425.124849,1846.1188130000000,2373.5798440000000,2673.7872830000000,2972.743265,3595.0371630000000,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994000000,3952.801215,4124.055726,4531.020806,5284.380184000000,5352.857411,7.68,7.74,7.71,7.52,7.44,7.44,7.69,7.58,7.67,7.84,0.0,0.0,4.634251595,0.0,5.485469818000000,5.268936634,5.867421627000000,5.5101242070000000,4.550647736,4.813763142,4.6066508290000000,4.511100769,4.639548302,5.004402637
2,Algeria,68.0,5.605,38.0,6.355,53.0,5.872000217,84.0,5.295,88.0,5.211,46.141000000000000,46.599,47.056000000000000,47.50900000000000,47.958,48.394,48.81100000000000,49.21,49.597,49.982,50.372,50.773,51.201,51.676,52.218,52.86600000000000,53.661,54.609000000000000,55.7,56.909,58.198,59.519,60.813,62.029000000000000,63.13,64.087,64.884,65.545,66.097,66.554,66.938,67.27,67.575,67.877,68.194,68.54,68.919,69.32300000000000,69.745,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.64400000000000,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,0.0,0.0,172.2459978,226.89998880000000,238.048532,249.8834861,235.59811180000000,253.9236508,281.925745,302.75230670000000,336.2248556,341.3889873,442.3518782,554.7551249000000,817.9883085,936.7900258,1037.607038,1192.743888,1456.419396,1782.6979810000000,2202.9973650000000,2237.086325,2210.3019280000000,2312.655619,2467.346422,2582.879589,2757.1305240000000,2807.330297,2417.376683,2215.847558,2408.688815,1731.6112740000000,1776.036674,1807.328548,1507.865318,1452.269445,1603.9379210000000,1619.806224,1596.0037140000000,1588.347503,1764.9738300000000,1740.642423,1781.8373650000000,2103.4130580000000,2609.945608,3113.101094,3478.654871,3950.5193690000000,4923.629265,3883.2612710000000,4480.799271,5455.853529,5592.257099,5499.5814870000000,5493.02559,4177.892515,3946.4439770000000,4044.2766,4114.715061,3948.3432790000000,5.29,5.28,5.26,5.15,5.06,5.16,5.2,5.04,5.22,4.99,0.0,0.0,0.0,0.0,0.0,5.46356678,5.317194462,5.604595661,0.0,6.354898453,0.0,5.340853691,5.248912334,5.043086052
3,Angola,137.0,4.033,141.0,3.866,140.0,3.7950000760000000,142.0,3.795,47.0,6.086,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178000000000000,40.546,40.914,41.282,41.65,42.016000000000000,42.374000000000000,42.721000000000000,43.053000000000000,43.367,43.66,43.931000000000000,44.178000000000000,44.404000000000000,44.611000000000000,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306000000000000,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763000000000000,46.093,46.522,47.059,47.702,48.44,49.263000000000000,50.165,51.143,52.177,53.243,54.31100000000000,55.35,56.33,57.236000000000000,58.054000000000000,58.776,59.398,59.925,60.379,60.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.9816481,642.383858,619.9613575,623.4405848000000,637.7152307,758.2375762,685.2700853000000,756.261853,792.3031202000000,890.5541365,947.7041821,865.6927296,656.361756,441.2006733,328.6732947,397.1794508,522.6438073000000,514.2952232,423.5936602,387.784316,556.8363181,527.3335285,872.4944916000000,982.9608993000000,1255.5640450000000,1902.422346,2599.566464,3121.995637,4080.9414100000000,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2973.59116,5.02,5.44,5.44,5.37,5.35,5.28,5.44,5.79,5.89,5.4,0.0,0.0,0.0,0.0,0.0,0.0,5.589000702000000,4.360249996,3.937106848,3.794837952,0.0,0.0,0.0,0.0
4,Argentina,30.0,6.574,26.0,6.65,24.0,6.598999977,29.0,6.388,116.0,4.559,65.055,65.176,65.26900000000000,65.348,65.426,65.518,65.64,65.796,65.98900000000000,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.49600000000000,69.777,70.033,70.262,70.46600000000000,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.24600000000000,72.453,72.65100000000000,72.843,73.029,73.21300000000000,73.396,73.57600000000000,73.755,73.932,74.107,74.28,74.45100000000000,74.62,74.78700000000000,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,0.0,0.0,1155.89017,850.3047369000000,1173.238213,1279.113432,1272.802978,1062.5435520000000,1141.080481,1329.058659,1322.590804,1372.374343,1408.865208,2097.022579,2844.863648,2027.337124,1948.224686,2129.7082810000000,2146.364483,2520.921634,2758.835212,2776.32199,2927.8975600000000,3553.3777520000000,2659.7086,2926.12697,3613.6217090000000,3562.8756020000000,3985.19121,2383.867693,4333.482973000000,5735.360327,6823.537616,6969.118088000000,7483.139682000000,7408.708238000000,7721.354543,8213.1272,8289.505729,7774.736203,7708.100996000000,7208.371567,2593.40415,3349.8061240000000,4277.721351,5109.851325,5919.0120370000000,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.060420000000,12790.242470000000,14591.86338,11683.94962,10006.14897,7.1,7.06,6.96,6.93,6.64,6.55,6.27,6.54,6.75,6.86,0.0,6.3129253390000000,6.073158264,5.9610342980000000,6.424133301,6.441067219,6.775805473000000,6.468387127000000,6.582260132,6.671114445,6.69713068,6.427221298000000,6.039330006,5.792796612
5,Armenia,127.0,4.35,121.0,4.36,121.0,4.375999928,129.0,4.321000000000000,11.0,7.228,65.972,66.403,66.83800000000000,67.277,67.71600000000000,68.153,68.58800000000000,69.016,69.42700000000000,69.809,70.14400000000000,70.41200000000000,70.605,70.723,70.775,70.783,70.783,70.798,70.83800000000000,70.89700000000000,70.937,70.91,70.77600000000000,70.51900000000000,70.15,69.69800000000000,69.205,68.732,68.332,68.038,67.87900000000000,67.87,67.99,68.218,68.538,68.938,69.404,69.91200000000000,70.434,70.944,71.40900000000000,71.8,72.112,72.348,72.513,72.626,72.71600000000000,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.8546595,590.1210473,369.6326166,357.2032777,400.51523810000000,456.3750487,504.0585594,523.283068,609.1724375,597.4325147000000,622.7421391,694.4232277000000,783.2406986000000,930.1273219000000,1191.9190200000000,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.8047470000000,3681.857456,3838.1858010000000,3986.231624,3607.2966970000000,3591.829276,3914.501268,4220.490277,4622.733493,7.42,7.39,7.41,7.53,7.52,7.53,7.43,7.34,7.44,7.42,0.0,4.289310932,4.881515503,4.651972294,4.177581787,4.3678112030000000,4.2604913710000000,4.319711685,4.277191162,4.453083038,4.34831953,4.325471878,4.287736416,5.062448502
6,Australia,10.0,7.284,9.0,7.313,10.0,7.28399992,10.0,7.272,10.0,7.246,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.81951220000000,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,1807.78571,1874.732106,1851.8418510000000,1964.1504700000000,2128.068355,2277.558398,2340.438685,2576.284509,2720.082609,2986.949507,3299.843207,3489.9522940000000,3943.787639,4763.62839,6473.165153,6994.209927,7476.748748,7765.070544,8241.997276,9281.523356,10194.3187,11833.743210000000,12766.52225,11518.668520000000,12431.94585,11437.66446,11364.239460000000,11624.53959,14254.557570000000,17798.31424,18211.27459,18821.47739,18569.81275,17634.25635,18046.02024,20319.63063,21861.32551,23468.596830000000,21318.96417,20533.03506,21679.24784,19490.861110000000,20082.483270000000,23447.031000000000,30430.67644,33999.242860000000,36044.922810000000,40960.054490000000,49601.65671,42772.359170000000,52022.1256,62517.83375,68012.1479,68150.10704,62510.791170000000,56755.721710000000,49971.131460000000,54066.47127,57395.91947000000,54907.101910000000,8.73,8.68,8.69,8.64,8.6,8.56,8.69,8.61,8.62,8.62,7.3406882290000000,0.0,7.285390854,7.253757477000000,0.0,7.450047016,7.405616283,7.195585728000000,7.364169121000000,7.288550377000000,7.309060574,7.250080109,7.25703764,7.17699337
7,Austria,13.0,7.2,12.0,7.119,13.0,7.006000042,12.0,7.139000000000000,90.0,5.208000000000000,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.31951220000000,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.18048780000000,79.33170732,79.8804878,80.18048780000000,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,935.4604269000000,1031.8150040000000,1087.834243,1167.000532,1269.412583,1374.53214,1486.9686060000000,1569.667183,1677.673528,1825.386126,2058.7690790000000,2380.978443,2924.048871,3890.7224560000000,4630.757207,5285.620724,5678.386638,6810.627729000000,8205.468927,9793.765307,10869.54642,9385.249018,9410.347225,9537.407431,8991.065076,9172.096769,13083.0727,16392.76957,17578.61894,17468.946190000000,21680.989690000000,22410.91174,24880.16407,24081.52781,25646.70066,30325.849580000000,29809.07677,26705.4786,27361.87511,27174.297160000000,24564.458290000000,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.695290000000,50716.70871,51717.49594,44178.04738,45237.805090000000,47549.07904,51525.04643,50277.275090000000,8.42,8.4,8.37,8.46,8.49,8.53,8.58,8.56,8.47,8.48,0.0,7.1222114560000000,0.0,7.180953979,0.0,7.302678585,7.470512867,7.400688648000000,7.498802662,6.9499998090000000,7.07644701,7.048071861,7.293727875,7.396001816
8,Azerbaijan,80.0,5.212000000000000,81.0,5.291,85.0,5.234000206,87.0,5.2010000000000000,37.0,6.199,61.034,61.256,61.469000000000000,61.679000000000000,61.889000000000000,62.104,62.322000000000000,62.539000000000000,62.75,62.953,63.141000000000000,63.31,63.457,63.582,63.687,63.776,63.852,63.92100000000000,63.992,64.069,64.161,64.28,64.425,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.73100000000000,64.81,64.991,65.256,65.57300000000000,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.20100000000000,70.597,70.938,71.234,71.506,71.768,72.02200000000000,72.266,72.493,72.693,72.86400000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.324492,1209.2374930000000,676.1515115,529.8136618,436.21686900000000,397.19811610000000,409.2107552,505.56377470000000,561.9070354000000,573.8932966,655.0974326,703.6838434000000,763.080638,883.6439965,1045.0093790000000,1578.40239,2473.081819,3851.437869,5574.6038020000000,4950.294791000000,5842.805784,7189.691229000000,7496.294648,7875.756953,7891.313147,5500.310382,3880.7387310000000,4147.0897160000000,4739.841710000000,4793.58702,6.44,6.29,6.36,6.07,6.07,6.11,6.12,5.97,6.07,6.22,0.0,4.727870941,4.56815958,4.817189217,4.5737252240000000,4.218610764,4.680469513,4.9107718470000000,5.481178284000000,5.25153017,5.146774769000000,5.303894997,5.152279377,5.1679954530000000
9,Bahrain,49.0,5.96,42.0,6.218,41.0,6.086999893,43.0,6.105,125.0,4.456,51.869,53.235,54.59,55.911,57.182000000000000,58.388000000000000,59.524000000000000,60.596000000000000,61.609000000000000,62.56,63.449,64.275,65.042,65.757,66.421,67.04,67.616,68.152,68.65100000000000,69.117,69.55,69.95100000000000,70.317,70.65100000000000,70.957,71.237,71.49600000000000,71.736,71.962,72.178,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.82600000000000,74.033,74.23900000000000,74.44,74.635,74.822,74.999,75.167,75.32600000000000,75.47800000000000,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8537.929379000000,9269.269617,9446.158002,9421.285655,9590.730202000000,8706.766601000000,7041.6019590000000,7555.100464,7958.747925,8030.904659000000,8528.983334,9055.679936,9082.758533,9698.189063,10130.505230000000,10376.9717,10544.70357,10672.166010000000,10076.22062,10401.54581,13636.39623,12868.26916,13049.80322,14222.0368,15846.54414,17959.25544,19307.60966,20976.543530000000,23066.53376,19355.90467,20722.137290000000,22514.23795,23654.35139,24744.29696,24989.40012,22688.9444,22619.11667,23709.43047,23991.05668,23503.977130000000,7.15,7.03,6.83,6.69,6.53,6.62,6.62,6.66,6.65,6.63,0.0,0.0,0.0,0.0,5.7005233760000000,5.936869144,4.82397604,5.0271868710000000,6.689711094,6.165133953,6.00737524,6.169673443,6.227320671,0.0
